"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "JavaScript React", "HTML", "comment", "blank", "total"
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/NewText.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 4, 38
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Notes.js", "JavaScript", 0, 53, 0, 0, 0, 0, 5, 38, 96
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/PopUp.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Post.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Registercoursedetails.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 12, 93
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/ReportPending.js", "JavaScript", 0, 126, 0, 0, 0, 0, 16, 20, 162
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/ReportResolved.js", "JavaScript", 0, 117, 0, 0, 0, 0, 1, 23, 141
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/ReportUnseen.js", "JavaScript", 0, 126, 0, 0, 0, 0, 16, 20, 162
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/SearchBar.js", "JavaScript", 0, 70, 0, 0, 0, 0, 1, 18, 89
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/SearchBarInst.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 15, 75
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/SendCertificateEmail.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 18, 54
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Spinner.jsx", "JavaScript React", 0, 0, 0, 0, 8, 0, 0, 1, 9
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/TraineeProgress.js", "JavaScript", 0, 41, 0, 0, 0, 0, 1, 3, 45
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/corpviewAllcourses.js", "JavaScript", 0, 228, 0, 0, 0, 0, 0, 32, 260
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/coursepricedetails.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/indvtraineeviewAllCourses.js", "JavaScript", 0, 228, 0, 0, 0, 0, 0, 39, 267
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/context/AdminAuthContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/context/AuthContext.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 9, 38
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/features/auth/authService.js", "JavaScript", 0, 25, 0, 0, 0, 0, 3, 10, 38
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/features/auth/authSlice.js", "JavaScript", 0, 88, 0, 0, 0, 0, 3, 7, 98
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/hooks/AdminLogin.js", "JavaScript", 0, 33, 0, 0, 0, 0, 3, 12, 48
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/hooks/CorpTraineeLogin.js", "JavaScript", 0, 38, 0, 0, 0, 0, 4, 20, 62
